SA2_CODE_2021,Buddhism_P,Christianity_Tot_P,Other_Religions_Tot_P,Hinduism_P,Islam_P,Judaism_P,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_P,Total_P_Ex,Buddhism_Percent,Christian_Percent,Other_Religions_Percent,Hinduism_Percent,Islam_Percent,Judaism_P,No_Religion_Percent,,,Tot_P
101021007,32,1895,18,4,7,4,1926,448,3895,0.82156611,48.6521181,0.462130937,0.102695764,0.179717587,0.179717587,49.44801027,,,4343
101021008,89,4468,121,133,49,0,3004,648,7869,1.13102046,56.77976871,1.537679502,1.690176643,0.622696658,0.622696658,38.17511755,,,8517
101021009,154,4945,337,645,342,8,4147,764,10578,1.455851768,46.74796748,3.18585744,6.097560976,3.233125355,3.233125355,39.20400832,,,11342
101021010,59,2233,135,200,173,10,1949,337,4748,1.242628475,47.03032856,2.843302443,4.212299916,3.643639427,3.643639427,41.04886268,,,5085
101021012,93,6872,130,202,117,11,4762,556,12188,0.763045619,56.38332786,1.066622908,1.657367903,0.959960617,0.959960617,39.07121759,,,12744
101021610,45,3093,157,243,154,13,2227,287,5937,0.757958565,52.0970187,2.644433215,4.092976251,2.593902644,2.593902644,37.5105272,,,6224
101021611,86,7893,73,23,32,3,7258,1162,15377,0.559276842,51.3299083,0.474734994,0.149574039,0.208103011,0.208103011,47.20036418,,,16539
101031013,9,1438,10,8,5,0,723,263,2191,0.410771337,65.63213145,0.456412597,0.365130078,0.228206298,0.228206298,32.99863076,,,2454
101031014,81,3329,40,67,79,3,2487,680,6081,1.33201776,54.74428548,0.657786548,1.101792468,1.299128433,1.299128433,40.89787864,,,6761
101031015,18,1803,26,0,0,0,1256,367,3105,0.579710145,58.06763285,0.837359098,0,0,0,40.45088567,,,3472
101031016,87,2977,30,0,11,5,4211,704,7331,1.186741236,40.60837539,0.409221116,0,0.150047742,0.150047742,57.44100396,,,8035
101041017,66,4299,40,43,17,10,3415,700,7881,0.837457175,54.54891511,0.507549803,0.545616039,0.215708666,0.215708666,43.33206446,,,8581
101041018,82,4447,48,23,14,3,3494,828,8110,1.011097411,54.83353884,0.591861899,0.283600493,0.172626387,0.172626387,43.08261406,,,8938
101041019,105,3746,35,38,15,9,4132,801,8071,1.300954033,46.41308388,0.433651344,0.47082146,0.185850576,0.185850576,51.19563871,,,8872
101041020,72,3694,56,17,10,8,4771,930,8627,0.834589081,42.81905645,0.649124841,0.197055755,0.11591515,0.11591515,55.30311812,,,9557
101041021,17,1673,9,7,13,4,1794,271,3521,0.482817381,47.51491054,0.255609202,0.198807157,0.369213292,0.369213292,50.95143425,,,3792
101041022,0,12,0,0,0,0,22,3,40,0,30,0,0,0,0,55,,,43
101041023,19,1545,14,9,10,0,1491,343,3082,0.616482803,50.12978585,0.454250487,0.29201817,0.324464633,0.324464633,48.37767683,,,3425
101041024,32,1479,13,9,5,0,1562,439,3086,1.036941024,47.92611795,0.421257291,0.291639663,0.162022035,0.162022035,50.61568373,,,3525
101041025,110,5113,42,47,17,14,5360,805,10708,1.027269331,47.74934628,0.392230108,0.438924169,0.158759806,0.158759806,50.05603287,,,11513
101041026,41,3951,31,18,8,5,3689,851,7749,0.529100529,50.98722416,0.40005162,0.232288037,0.103239128,0.103239128,47.60614273,,,8600
101041027,114,4017,56,36,31,8,4657,970,8918,1.278313523,45.04373178,0.627943485,0.403677955,0.347611572,0.347611572,52.22022875,,,9888
101051539,211,13921,152,301,167,7,7618,2181,22384,0.942637598,62.1917441,0.679056469,1.344710508,0.74606862,0.74606862,34.03323803,,,24565
101051540,45,8269,52,36,38,10,3991,1395,12444,0.361620058,66.44969463,0.417872067,0.289296046,0.305368049,0.305368049,32.07168113,,,13839
101061541,40,3740,29,40,25,4,2417,468,6295,0.63542494,59.41223193,0.460683082,0.63542494,0.397140588,0.397140588,38.39555203,,,6763
101061542,67,6168,57,15,44,14,5445,913,11800,0.56779661,52.27118644,0.483050847,0.127118644,0.372881356,0.372881356,46.1440678,,,12713
101061543,41,6602,49,43,483,0,2909,885,10119,0.405178377,65.24360115,0.484237573,0.424943176,4.773198933,4.773198933,28.74789999,,,11004
101061544,26,4926,20,0,49,0,1878,775,6902,0.376702405,71.37061721,0.289771081,0,0.709939148,0.709939148,27.20950449,,,7677
102011028,69,3429,12,13,13,33,3586,356,7157,0.9640911,47.91113595,0.167668017,0.181640352,0.181640352,0.181640352,50.10479251,,,7513
102011029,82,5630,30,7,23,33,4639,591,10451,0.784613913,53.87044302,0.28705387,0.066979236,0.220074634,0.220074634,44.38809683,,,11042
102011030,37,2296,32,12,35,11,1777,518,4198,0.881372082,54.69271081,0.762267747,0.285850405,0.833730348,0.833730348,42.3296808,,,4716
102011031,163,8327,58,68,36,34,5084,991,13767,1.183990702,60.48521828,0.421297305,0.493934772,0.261494879,0.261494879,36.92888792,,,14758
102011032,384,9644,223,595,261,38,8555,1505,19699,1.94933753,48.95679984,1.132037159,3.020457891,1.324940352,1.324940352,43.42860044,,,21204
102011033,68,3154,35,80,51,12,2759,318,6167,1.1026431,51.14318145,0.56753689,1.297227177,0.826982325,0.826982325,44.73812226,,,6485
102011034,56,4124,30,25,14,18,2931,424,7191,0.778751217,57.34946461,0.417188152,0.347656793,0.194687804,0.194687804,40.75928244,,,7615
102011035,111,3585,35,58,45,10,3031,282,6875,1.614545455,52.14545455,0.509090909,0.843636364,0.654545455,0.654545455,44.08727273,,,7157
102011036,62,4144,18,61,17,12,3540,349,7856,0.789205703,52.74949084,0.229124236,0.776476578,0.216395112,0.216395112,45.0610998,,,8205
102011037,92,3189,21,41,18,9,2871,327,6244,1.473414478,51.07303011,0.33632287,0.656630365,0.288276746,0.288276746,45.98014094,,,6571
102011038,32,3795,17,13,16,13,2945,338,6822,0.469070654,55.62884785,0.249193785,0.190559953,0.234535327,0.234535327,43.1691586,,,7160
102011039,168,7496,28,82,65,31,6111,865,13984,1.201372998,53.60411899,0.200228833,0.586384439,0.464816934,0.464816934,43.69994279,,,14849
102011040,279,12143,102,84,74,29,10225,1753,22944,1.216004184,52.92451185,0.444560669,0.366108787,0.322524407,0.322524407,44.56502789,,,24697
102011041,80,5426,23,38,48,15,4501,544,10131,0.789655513,53.55838515,0.22702596,0.375086369,0.473793308,0.473793308,44.42799329,,,10675
102011042,218,6936,73,77,51,13,5931,1050,13296,1.639590854,52.16606498,0.549037304,0.57912154,0.383574007,0.383574007,44.60740072,,,14346
102011043,176,5536,96,79,84,11,4653,780,10643,1.653669078,52.01540919,0.902001315,0.742271916,0.789251151,0.789251151,43.71887626,,,11423
102021044,149,11760,56,57,53,14,9020,1718,21107,0.705926944,55.71611314,0.265314824,0.270052589,0.25110153,0.25110153,42.7346378,,,22825
102021045,48,5277,69,34,54,5,5176,625,10665,0.450070323,49.47960619,0.64697609,0.318799812,0.506329114,0.506329114,48.53258322,,,11290
102021046,96,5221,42,4,13,5,3690,667,9061,1.059485708,57.62057168,0.463524997,0.044145238,0.143472023,0.143472023,40.7239819,,,9728
102021047,82,8510,45,59,30,8,6385,876,15130,0.541969597,56.24586913,0.29742234,0.389953734,0.19828156,0.19828156,42.20092531,,,16006
