Buddhism_P,Christianity_Tot_P,Other_Religions_Tot_P,Hinduism_P,Islam_P,Judaism_P,Tot_P,Christian_Percent,SA2_CODE_2021
32,1895,18,4,7,4,4343,43.63343311,101021007
89,4468,121,133,49,0,8517,52.45978631,101021008
154,4945,337,645,342,8,11342,43.59901252,101021009
59,2233,135,200,173,10,5085,43.91347099,101021010
93,6872,130,202,117,11,12744,53.92341494,101021012
45,3093,157,243,154,13,6224,49.69473008,101021610
86,7893,73,23,32,3,16539,47.72356249,101021611
9,1438,10,8,5,0,2454,58.59820701,101031013
81,3329,40,67,79,3,6761,49.23827836,101031014
18,1803,26,0,0,0,3472,51.9297235,101031015
87,2977,30,0,11,5,8035,37.05040448,101031016
66,4299,40,43,17,10,8581,50.09905605,101041017
82,4447,48,23,14,3,8938,49.75385992,101041018
105,3746,35,38,15,9,8872,42.22272317,101041019
72,3694,56,17,10,8,9557,38.65229675,101041020
17,1673,9,7,13,4,3792,44.11919831,101041021
0,12,0,0,0,0,43,27.90697674,101041022
19,1545,14,9,10,0,3425,45.10948905,101041023
32,1479,13,9,5,0,3525,41.95744681,101041024
110,5113,42,47,17,14,11513,44.4106662,101041025
41,3951,31,18,8,5,8600,45.94186047,101041026
114,4017,56,36,31,8,9888,40.625,101041027
211,13921,152,301,167,7,24565,56.67005903,101051539
45,8269,52,36,38,10,13839,59.75142713,101051540
40,3740,29,40,25,4,6763,55.30090197,101061541
67,6168,57,15,44,14,12713,48.51726579,101061542
41,6602,49,43,483,0,11004,59.99636496,101061543
26,4926,20,0,49,0,7677,64.16568972,101061544
69,3429,12,13,13,33,7513,45.64088913,102011028
82,5630,30,7,23,33,11042,50.98714001,102011029
37,2296,32,12,35,11,4716,48.68532655,102011030
163,8327,58,68,36,34,14758,56.42363464,102011031
384,9644,223,595,261,38,21204,45.48198453,102011032
68,3154,35,80,51,12,6485,48.63531226,102011033
56,4124,30,25,14,18,7615,54.15627052,102011034
111,3585,35,58,45,10,7157,50.09082018,102011035
62,4144,18,61,17,12,8205,50.50578915,102011036
92,3189,21,41,18,9,6571,48.53142596,102011037
32,3795,17,13,16,13,7160,53.0027933,102011038
168,7496,28,82,65,31,14849,50.48151391,102011039
279,12143,102,84,74,29,24697,49.16791513,102011040
80,5426,23,38,48,15,10675,50.82903981,102011041
218,6936,73,77,51,13,14346,48.34797156,102011042
176,5536,96,79,84,11,11423,48.46362602,102011043
149,11760,56,57,53,14,22825,51.52245345,102021044
48,5277,69,34,54,5,11290,46.7404783,102021045
96,5221,42,4,13,5,9728,53.66981908,102021046
82,8510,45,59,30,8,16006,53.16756216,102021047
211,11053,85,96,98,15,22362,49.42760039,102021048
19,1920,8,4,6,3,3420,56.14035088,102021049
60,6240,31,16,38,4,10960,56.93430657,102021050
30,2369,21,24,22,9,4928,48.07224026,102021051
48,3451,29,6,18,0,6492,53.15773259,102021052
170,8631,132,117,73,26,15839,54.49207652,102021053
91,5154,39,31,25,0,9909,52.01332122,102021054
57,2776,58,90,47,3,5229,53.08854465,102021055
166,10813,132,228,98,9,20051,53.92748491,102021056
100,4404,59,101,68,3,9120,48.28947368,102021057
66,7422,84,101,96,0,12330,60.1946472,103011059
35,3984,25,11,3,6,6909,57.66391663,103011060
21,2692,19,39,28,10,4834,55.6888705,103011061
122,5021,162,217,118,10,10752,46.69828869,103011612
78,8299,57,108,67,0,14313,57.9822539,103011613
11,4017,21,46,15,0,6372,63.04143126,103021062
48,5869,48,32,25,0,9273,63.29127575,103021063
18,3473,21,12,3,0,5716,60.75927222,103021064
34,6433,10,28,6,5,10020,64.20159681,103021065
7,2285,5,3,4,0,3597,63.52515986,103021066
54,6864,35,47,30,0,10919,62.86289953,103021067
10,2084,4,9,0,0,3262,63.88718578,103021068
17,3652,16,21,10,0,5525,66.09954751,103021069
102,6516,75,77,46,16,12385,52.61203068,103031070
72,4390,42,23,23,7,8448,51.96496212,103031071
57,6795,77,71,34,14,12563,54.08739951,103031072
26,1889,6,3,11,0,3398,55.59152443,103031073
37,6265,44,3,0,0,11072,56.5841763,103031074
0,0,0,0,0,0,0,#DIV/0!,103031075
32,4396,32,3,20,3,7517,58.48077691,103041076
172,10440,116,220,88,13,19023,54.88093361,103041077
180,13453,130,267,195,11,22895,58.75955449,103041078
36,7493,32,6,17,8,11830,63.33896872,103041079
85,9957,122,66,48,4,19255,51.71124383,104011080
119,7735,111,17,11,13,16875,45.83703704,104011081
163,8879,59,16,28,6,17533,50.64164718,104011082
112,1538,72,18,11,28,6168,24.93514916,104021083
