Religion,SEXP Sex,Count
Buddhism,Male,265305
Buddhism,Female,350514
Buddhism,Total,615823
Christianity,Male,5175151
Christianity,Female,5973665
Christianity,Total,11148814
Hinduism,Male,361241
Hinduism,Female,322758
Hinduism,Total,684002
Islam,Male,424000
Islam,Female,389392
Islam,Total,813392
Judaism,Male,48239
Judaism,Female,51713
Judaism,Total,99956
Other Religions,Male,163283
Other Religions,Female,162136
Other Religions,Total,325421
Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Male,5122953
Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Female,4764004
Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Total,9886957
Inadequately described,Male,65736
Inadequately described,Female,31641
Inadequately described,Total,97376
Not stated,Male,919242
Not stated,Female,831810
Not stated,Total,1751052
Total,Male,12545154
Total,Female,12877635
Total,Total,25422788
