1-digit level RELP Religious Affiliation,,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated,Total
,Oceania and Antarctica,154142,8372291,170079,331689,56857,121508,7985626,77701,438742,17708639
,North-West Europe,7953,720043,5099,5082,6296,6327,664306,5639,39077,1459833
,Southern and Eastern Europe,1517,509261,504,17639,7711,791,102419,1572,16786,658197
,North Africa and the Middle East,729,191314,2115,162455,7668,21369,53587,1528,14097,454856
,South-East Asia,277368,505474,14134,39828,481,7066,183540,1930,21610,1051437
,North-East Asia,85796,162656,545,2770,358,3780,577474,1480,19939,854800
,Southern and Central Asia,80871,153420,475346,216590,794,158148,45945,2720,16329,1150155
,Americas,2585,180414,2012,2518,4179,3266,134718,1565,8356,339618
,Sub-Saharan Africa,1150,233011,12127,27266,13701,1793,72203,1783,9118,372151
,Supplementary codes,245,5715,120,728,1399,134,4640,487,976,14447
,Not stated,3466,115220,1927,6818,514,1229,62492,966,1166021,1358658
,Total,615823,11148814,684002,813392,99956,325421,9886957,97376,1751052,25422788
